EnglishName,ScientificName,RegionalRedlist,GlobalRedlist,AdjustedRegionalRedlist,SoIBPriority,LTC,CAT,CriteriaA_Category,CriteriaB_Category,CriteriaC_Category,CriteriaD_Category,CriteriaA_String,CriteriaB_String,CriteriaC_String,CriteriaD_String,GlobalCriteriaString,Decline3GEN_A,Decline3GEN,Decline3GEN_A_Mean,Decline3GENMean,Decline3GEN_A_Lci,Decline3GENLci,Decline3GEN_A_Method,Years3GEN,Decline1GEN,Years1GEN,Decline2GEN,Years2GEN,Decline3GEN_C,Decline3GEN_C1_Method,Decline3GEN_ContinuingDeclineMethod,GenerationLength,ActualDeclinePercentage,YearsActualDecline,ContinuingDecline,ActualDeclinePercentage_C1,YearsActualDecline_C1,BiogPop1Percent,CMS,CITES,Schedule,Endemic,EOO,MaxEOO,DeclineEOO,EOOYearBandChange,MinAOO,MaxAOO,MinLocations,Locations,MaxLocations,Subspecies,TotalLikelyPop,TotalMaxPop,GlobalPopulation,GlobalEOO,GlobalAOO,GlobalRangePercent,GlobalPopulationTrend,MigratoryStatusIndia,GlobalRedlistURL
Chestnut Thrush,Turdus rubrocanus,Least Concern,Least Concern,To be done,Low,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.18,NA,,Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"1,100,877",,NA,NA,"1,170","(Max 144,932)",NA,NA,NA,2,,,Unknown,"3,480,000",,11%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22708783/264267609
Black-throated Thrush,Turdus atrogularis,Least Concern,Least Concern,To be done,Moderate,Rapid Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,,Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"1,820,726",,NA,NA,,,NA,NA,NA,1,,,"1,000,000-1,600,000","9,960,000",,8%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22736108/280911992
Red-throated Thrush,Turdus ruficollis,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.04,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"822,185",,NA,NA,406,"(Max 83,062)",NA,NA,NA,1,,,Unknown,"1,650,000",,5%,Unknown,Winter Migrant,https://www.iucnredlist.org/species/103892167/132202551
Dusky Thrush,Turdus eunomus,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.16,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"57,867",,NA,NA,44,"(Max 9,548)",NA,NA,NA,1,,,Unknown,"6,640,000",,2%,Unknown,Winter Migrant,https://www.iucnredlist.org/species/22736111/263781962
Dark-sided Flycatcher,Muscicapa sibirica,Least Concern,Least Concern,To be done,Moderate,Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.76,"-0.23% (0.85, -1.3) pa, ","10y, 2015-2025",Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"1,939,485",,-33.2%,2013-2020 to 2021-2025,,,NA,NA,NA,2,,,Unknown,"8,420,000",,7%,Decreasing,Summer Migrant,https://www.iucnredlist.org/species/22709204/264259841
Ferruginous Flycatcher,Muscicapa ferruginea,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"173,225",,NA,NA,519,"(Max 44,415)",NA,NA,NA,1,,,Unknown,"4,290,000",,5%,Decreasing,Summer Migrant,https://www.iucnredlist.org/species/22709223/264259405
Asian Brown Flycatcher,Muscicapa dauurica,Least Concern,Least Concern,To be done,Moderate,Decline,Decline,NA,NA,NA,NA,A2b+ A4b,NA,NA,NA,NA,13,13,19,19,25,25,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.67,"-2.12% (-1.43, -2.8) pa, ","10y, 2015-2025",Yes,NA,,,Appendix II,NA,Schedule-II,No,"5,432,704",,NA,NA,,,NA,NA,NA,1,,,Unknown,"17,800,000",,15%,Decreasing,Within-India Migrant & Winter Migrant,https://www.iucnredlist.org/species/22709207/264258972
Brown-breasted Flycatcher,Muscicapa muttui,Least Concern,Least Concern,To be done,Low,Stable,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.51,NA,,Yes,NA,,,Appendix II,NA,Schedule-II,No,"2,884,227",,NA,NA,,,NA,NA,NA,1,,,Unknown,"429,000",,11%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22709220/264259645
Spotted Flycatcher,Muscicapa striata,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.92,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"873,878",,NA,NA,"2,404","(Max 258,119)",NA,NA,NA,3,,,"20,600,000-37,400,000,27,900,000","9,300,000",,< 1%,Decreasing,Passage Migrant,https://www.iucnredlist.org/species/22709192/166348124
Rufous-tailed Scrub-Robin,Cercotrichas galactotes,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.87,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"317,240",,NA,NA,730,"(Max 89,351)",NA,NA,NA,1,,,"270,000-775,000,456,000","621,000",,NA,Decreasing,Passage Migrant,https://www.iucnredlist.org/species/22709936/166353350
Indian Robin,Copsychus fulicatus,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.7,"-0.81% (0.38, -2) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"3,297,651",,NA,NA,,,NA,NA,NA,4,,,Unknown,"4,850,000",,82%,Stable,Resident,https://www.iucnredlist.org/species/22710023/132083944
Oriental Magpie-Robin,Copsychus saularis,Least Concern,Least Concern,To be done,Low,Increase,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.33,NA,,No,NA,,,NA,NA,Schedule-II,No,"6,414,773",,NA,NA,,,NA,NA,NA,3,,,Unknown,"19,500,000",,32%,Stable,Resident,https://www.iucnredlist.org/species/103893432/183088183
White-rumped Shama,Copsychus malabaricus,Least Concern,Least Concern,To be done,Low,Stable,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.91,NA,,Uncertain,NA,,,NA,Appendix II,Schedule-II,No,"3,735,600",,NA,NA,,,NA,NA,NA,2,,,Unknown,"13,900,000",,27%,Decreasing,Resident,https://www.iucnredlist.org/species/103894856/183077961
Andaman Shama,Copsychus albiventris,Least Concern,Least Concern,Least Concern,Moderate,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.25,NA,,Uncertain,NA,,,NA,NA,Schedule-II,Yes,"12,849","(Max 19,915)",NA,NA,"1,417","(Max 3,691)",NA,NA,NA,1,,,Unknown,"10,100",,100%,Stable,Resident,https://www.iucnredlist.org/species/103894787/118538765
White-tailed Flycatcher,Leucoptilon concretum,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.11,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"37,931",,NA,NA,428,"(Max 9,544)",NA,NA,NA,1,,,Unknown,"6,350,000",,3%,Decreasing,Resident & Winter Migrant,https://www.iucnredlist.org/species/22709499/263778130
Nilgiri Sholakili,Sholicola major,Least Concern,Near Threatened,Least Concern,Moderate,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,B2ab(iii),NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.44,NA,,Uncertain,NA,,,NA,NA,Schedule-I,Yes,"20,734","(Max 25,430)",NA,NA,961,"(Max 6,158)",NA,NA,NA,1,,,Unknown,"20,000-25,000","1,600-2,400",100%,Decreasing,Resident,https://www.iucnredlist.org/species/22735416/249568548
White-bellied Sholakili,Sholicola albiventris,Least Concern,Near Threatened,Least Concern,Moderate,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,B1ab(iii),NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.61,NA,,Uncertain,NA,,,NA,NA,Schedule-I,Yes,"13,079","(Max 18,985)",NA,NA,"1,288","(Max 4,765)",NA,NA,NA,2,,,Unknown,"14,000-17,000",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/22735423/250381753
Large Niltava,Niltava grandis,Least Concern,Least Concern,To be done,Low,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.16,NA,,Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"732,755",,NA,NA,"3,637","(Max 111,091)",NA,NA,NA,1,,,Unknown,"5,570,000",,9%,Decreasing,Resident,https://www.iucnredlist.org/species/22709464/264261995
Small Niltava,Niltava macgrigoriae,Least Concern,Least Concern,To be done,Low,Stable,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.58,NA,,Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"1,225,428",,NA,NA,,,NA,NA,NA,2,,,Unknown,"3,280,000",,15%,Decreasing,Resident & Local Migrant,https://www.iucnredlist.org/species/22709467/264262261
Rufous-bellied Niltava,Niltava sundara,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.94,"0.12% (2.54, -2.29) pa, ","10y, 2015-2025",Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"1,542,208",,NA,NA,,,NA,NA,NA,2,,,Unknown,"4,350,000",,15%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22709473/264262877
Chinese Vivid Niltava,Niltava oatesi,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.25,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"105,054",,NA,NA,36,"(Max 35,048)",NA,NA,NA,1,,,Unknown,"1,230,000",,11%,Decreasing,Summer Migrant & Localized Winter Migrant,https://www.iucnredlist.org/species/103757396/264262504
Blue-and-white Flycatcher,Cyanoptila cyanomelana,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.88,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,,,NA,NA,,,NA,NA,NA,1,,,Unknown,"3,290,000",,NA,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/103758039/264251020
Nilgiri Flycatcher,Eumyias albicaudatus,Least Concern,Least Concern,Least Concern,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.96,NA,,Unknown,NA,,,NA,NA,Schedule-II,Yes,"68,522",,NA,NA,"4,357","(Max 22,071)",NA,NA,NA,1,,,Unknown,"78,000",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/22709449/118490523
Verditer Flycatcher,Eumyias thalassinus,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.89,NA,,Yes,NA,,,Appendix II,NA,Schedule-II,No,"4,512,183",,NA,NA,,,NA,NA,NA,1,,,Unknown,"13,300,000",,26%,Decreasing,Within-India Migrant & Winter Migrant,https://www.iucnredlist.org/species/22709426/264254475
White-gorgeted Flycatcher,Anthipes monileger,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.53,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"371,887",,NA,NA,"1,011","(Max 93,711)",NA,NA,NA,2,,,Unknown,"2,280,000",,15%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22709349/264245443
Hainan Blue Flycatcher,Cyornis hainanus,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.27,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"7,324","(Max 9,626)",NA,NA,140,"(Max 2,850)",NA,NA,NA,1,,,Unknown,"2,710,000",,NA,Decreasing,Summer Migrant & Localized Winter Migrant,https://www.iucnredlist.org/species/22709514/264251355
White-bellied Blue Flycatcher,Cyornis pallidipes,Least Concern,Least Concern,Least Concern,Moderate,Rapid Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.74,NA,,Yes,NA,,,NA,NA,Schedule-II,Yes,"160,070",,NA,NA,,,NA,NA,NA,1,,,Unknown,"143,000",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/22709519/280916500
Pale-chinned Flycatcher,Cyornis poliogenys,Least Concern,Least Concern,To be done,Low,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.23,NA,,Uncertain,NA,,,NA,NA,Schedule-II,No,"1,023,147",,NA,NA,"3,198","(Max 232,026)",NA,NA,NA,3,,,Unknown,"1,880,000",,49%,Decreasing,Resident,https://www.iucnredlist.org/species/22709527/131953768
Pale Blue Flycatcher,Cyornis unicolor,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.79,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"312,855",,NA,NA,"1,584","(Max 77,054)",NA,NA,NA,1,,,Unknown,"8,430,000",,8%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22709532/264252584
Blue-throated Flycatcher,Cyornis rubeculoides,Least Concern,Least Concern,To be done,Moderate,Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.67,"-0.54% (1.5, -2.58) pa, ","10y, 2015-2025",Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"4,219,361",,NA,NA,,,NA,NA,NA,2,,,Unknown,"2,600,000",,56%,Stable,Within-India Migrant,https://www.iucnredlist.org/species/103761873/263865799
Large Blue Flycatcher,Cyornis magnirostris,Least Concern,Near Threatened,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,A3c+4c,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.72,NA,,Unknown,NA,,,Appendix II,NA,Schedule-I,No,"28,599","(Max 33,267)",NA,NA,124,"(Max 9,032)",NA,NA,NA,1,,,Unknown,"152,000",,24%,Decreasing,Summer Migrant,https://www.iucnredlist.org/species/22735904/207531089
Hill Blue Flycatcher,Cyornis whitei,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.56,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"75,029",,NA,NA,115,"(Max 22,075)",NA,NA,NA,1,,,Unknown,"3,280,000",,5%,Decreasing,Summer Migrant & Localized Winter Migrant,https://www.iucnredlist.org/species/216915109/217198858
Tickell's Blue Flycatcher,Cyornis tickelliae,Least Concern,Least Concern,To be done,Low,Increase,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.75,NA,,No,NA,,,Appendix II,NA,Schedule-II,No,"2,923,668",,NA,NA,,,NA,NA,NA,1,,,Unknown,"3,070,000",,95%,Decreasing,Resident,https://www.iucnredlist.org/species/103761678/264252354
Nicobar Jungle Flycatcher,Cyornis nicobaricus,Least Concern,Near Threatened,Least Concern,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,"B1ab(ii,iii); C2a(i)",NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.96,NA,,Unknown,NA,,,NA,NA,Schedule-II,Yes,465,"(Max 1,036)",NA,NA,60,(Max 225),NA,NA,NA,1,,,"1,450-13,300","1,700",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/103761482/152177680
Rusty-bellied Shortwing,Brachypteryx hyperythra,Least Concern,Near Threatened,To be done,Moderate,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,C2a(i),NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,,Yes,NA,,,Appendix II,NA,Schedule-II,No,"125,881",,NA,NA,308,"(Max 29,632)",NA,NA,NA,1,,,"6,000-15,000","384,000",,48%,Decreasing,Resident & Local Migrant,https://www.iucnredlist.org/species/22708973/131950378
Lesser Shortwing,Brachypteryx leucophris,Least Concern,Least Concern,To be done,Low,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.92,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"386,972",,NA,NA,"2,084","(Max 93,192)",NA,NA,NA,2,,,Unknown,"13,600,000",,7%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22708982/264246859
Himalayan Shortwing,Brachypteryx cruralis,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"708,073",,NA,NA,848,"(Max 95,174)",NA,NA,NA,1,,,Unknown,"3,130,000",,12%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/103866603/264246037
Gould's Shortwing,Heteroxenicus stellatus,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.13,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"75,334",,NA,NA,170,"(Max 13,317)",NA,NA,NA,1,,,Unknown,"1,750,000",,20%,Stable,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22708970/131950183
Indian Blue Robin,Larvivora brunnea,Least Concern,Least Concern,To be done,Moderate,Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.93,"-0.67% (0.5, -1.85) pa, ","10y, 2015-2025",Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"3,692,060",,NA,NA,,,NA,NA,NA,1,,,Unknown,"2,780,000",,62%,Decreasing,Within-India Migrant & Winter Migrant,https://www.iucnredlist.org/species/22709727/155597425
Siberian Blue Robin,Larvivora cyane,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.83,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"47,973",,NA,NA,44,"(Max 10,286)",NA,NA,NA,1,,,Unknown,"10,500,000",,< 1%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22709730/264257804
White-bellied Redstart,Luscinia phaenicuroides,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.85,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"396,589",,NA,NA,197,"(Max 37,812)",NA,NA,NA,1,,,Unknown,"4,400,000",,8%,Stable,Altitudinal Migrant,https://www.iucnredlist.org/species/22710108/263878240
Bluethroat,Luscinia svecica,Least Concern,Least Concern,To be done,Low,Stable,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.44,"-2.08% (0.03, -4.2) pa, ","10y, 2015-2025",Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"6,275,447",,NA,NA,,,NA,NA,NA,4,,,"7,930,000-14,800,000,10,900,000","5,310,000",,5%,Stable,Winter Migrant & Localized Summer Migrant,https://www.iucnredlist.org/species/22709707/166352021
Malabar Whistling-Thrush,Myophonus horsfieldii,Least Concern,Least Concern,Least Concern,Moderate,Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.99,"-0.12% (0.94, -1.18) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,Yes,"1,550,834",,NA,NA,,,NA,NA,NA,1,,,Unknown,"1,490,000",,100%,Decreasing,Resident & Local Migrant,https://www.iucnredlist.org/species/22708324/264261451
Blue Whistling-Thrush,Myophonus caeruleus,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.65,"-0.61% (0.38, -1.61) pa, ","10y, 2015-2025",Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"2,040,241",,NA,NA,,,NA,NA,NA,2,,,Unknown,"18,600,000",,5%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22708329/264260957
Little Forktail,Enicurus scouleri,Least Concern,Least Concern,To be done,Low,Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,,Yes,NA,,,Appendix II,NA,Schedule-II,No,"1,115,930",,NA,NA,,,NA,NA,NA,1,,,Unknown,"6,330,000",,7%,Stable,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22710123/131957056
White-crowned Forktail,Enicurus leschenaulti,Near Threatened,Least Concern,To be done,NA,NA,NA,NA,NT,NA,NA,NA,B1b(i)+B2b(i),NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.42,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"23,608","(Max 29,142)",-31.1%,2013-2022 to 2023-2025,571,"(Max 7,557)",NA,NA,NA,1,,,Unknown,"12,600,000",,4%,Decreasing,Winter Migrant,https://www.iucnredlist.org/species/22710138/154364748
Spotted Forktail,Enicurus maculatus,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.48,"-0.88% (1.21, -2.97) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"1,310,383",,NA,NA,,,NA,NA,NA,2,,,Unknown,"6,070,000",,15%,Stable,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22710141/263911186
Black-backed Forktail,Enicurus immaculatus,Near Threatened,Least Concern,To be done,Moderate,Trend Inconclusive,Decline,NT,NT,NA,NA,A2b+ A4b,B2b(v),NA,NA,NA,21,21,40,40,55,55,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.29,"-5% (-2.38, -7.62) pa, ","10y, 2015-2025",Yes,NA,,,NA,NA,Schedule-II,No,"540,016",,NA,NA,"2,832","(Max 101,646)",NA,NA,NA,1,,,Unknown,"1,850,000",,26%,Decreasing,Resident,https://www.iucnredlist.org/species/22710132/264253584
Slaty-backed Forktail,Enicurus schistaceus,Least Concern,Least Concern,To be done,Low,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.46,NA,,Yes,NA,,,NA,NA,Schedule-II,No,"825,311",,NA,NA,"2,845","(Max 110,585)",NA,NA,NA,1,,,Unknown,"7,180,000",,6%,Stable,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22710135/263911597
Siberian Rubythroat,Calliope calliope,Least Concern,Least Concern,To be done,Low,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.82,NA,,Unknown,NA,,,Appendix II,NA,Schedule-II,No,"2,394,163",,NA,NA,"3,014","(Max 532,349)",NA,NA,NA,1,,,Unknown,"10,100,000",,4%,Unknown,Winter Migrant,https://www.iucnredlist.org/species/22709701/280932269
Himalayan Rubythroat,Calliope pectoralis,Least Concern,Least Concern,To be done,Low,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.19,NA,,Uncertain,NA,,,Appendix II,NA,Schedule-II,No,"495,103",,NA,NA,"1,931","(Max 86,027)",NA,NA,NA,2,,,Unknown,"1,630,000",,9%,Stable,Local Migrant,https://www.iucnredlist.org/species/103768539/132043046
