"","Species","MinAOO","MaxAOO","MinEstimate_2km","EOOStartYear","LikelyEOO","MaxEOO","EOOYearBandChange","EOOChange","EOOChangePercent"
"278","Gray-crowned Goldfinch",2832,91187,1972,2013,260182,NA,NA,NA,NA
"279","Fire-fronted Serin",NA,NA,NA,2016,249342,NA,NA,NA,NA
"280","Pied Wheatear",256,180270,208,2015,589297,NA,NA,NA,NA
"281","Sulphur-bellied Warbler",NA,NA,NA,2012,2772454,NA,NA,NA,NA
"282","Yellow-breasted Greenfinch",NA,NA,NA,2019,1098532,NA,NA,NA,NA
"283","Ferruginous Duck",NA,NA,NA,2012,5723529,NA,NA,NA,NA
"284","Northern Pintail",NA,NA,NA,2013,4775726,NA,NA,NA,NA
"285","Eurasian Skylark",395,84746,268,2007,246304,NA,NA,NA,NA
"286","Eurasian Crag-Martin",NA,NA,NA,2013,3452955,NA,NA,NA,NA
"287","Green Sandpiper",NA,NA,NA,2015,6364299,NA,NA,NA,NA
"288","Himalayan Snowcock",676,59167,488,2012,176991,NA,NA,NA,NA
"289","Red-fronted Rosefinch",175,33417,124,2016,417764,NA,NA,NA,NA
"290","White Wagtail",NA,NA,NA,2015,6576293,NA,NA,NA,NA
"291","Kashmir Nutcracker",553,16974,304,2019,44733,NA,NA,NA,NA
"292","Solitary Snipe",177,24026,156,2020,268895,NA,NA,NA,NA
"293","Yellow-rumped Honeyguide",424,52607,280,2013,521369,NA,NA,NA,NA
"294","Common Redshank",NA,NA,NA,2017,6807654,NA,NA,NA,NA
"295","Eurasian Hobby",NA,NA,NA,2015,4526780,NA,NA,NA,NA
"296","Western House-Martin",1448,727407,1120,2015,2505385,NA,NA,NA,NA
"297","Common Merganser",1433,259421,996,2015,1555767,NA,NA,NA,NA
"298","Pheasant-tailed Jacana",NA,NA,NA,2017,6460146,NA,NA,NA,NA
"299","White-winged Grosbeak",653,67593,364,2016,589159,NA,NA,NA,NA
"300","Wood Sandpiper",NA,NA,NA,2015,6737506,NA,NA,NA,NA
"301","Mallard",NA,NA,NA,2012,3295253,NA,NA,NA,NA
"302","Pink-browed Rosefinch",NA,NA,NA,2020,509336,NA,NA,NA,NA
"303","Green-winged Teal",NA,NA,NA,2016,4769142,NA,NA,NA,NA
"304","Northern Shoveler",NA,NA,NA,2011,4785732,NA,NA,NA,NA
"305","Greater Scaup",66,237869,28,2013,1144894,NA,NA,NA,NA
"306","Indian Yellow Tit",NA,NA,NA,2021,1771330,NA,NA,NA,NA
"307","Asian Openbill",NA,NA,NA,2015,6162529,NA,NA,NA,NA
"308","Ashy Drongo",NA,NA,NA,2016,6218332,NA,NA,NA,NA
"309","Brown-headed Gull",NA,NA,NA,2011,4595115,NA,NA,NA,NA
"310","White-capped Bunting",NA,NA,NA,2013,1186521,NA,NA,NA,NA
"311","Garganey",NA,NA,NA,2015,6227374,NA,NA,NA,NA
"312","Glossy Ibis",NA,NA,NA,2013,6763687,NA,NA,NA,NA
"313","Gray Heron",NA,NA,NA,2016,7130731,NA,NA,NA,NA
"314","Himalayan Woodpecker",NA,NA,NA,2016,177015,NA,NA,NA,NA
"315","Kashmir Nuthatch",465,9005,272,2022,22996,26795,NA,NA,NA
"316","Osprey",NA,NA,NA,2012,5998583,NA,NA,NA,NA
"317","Pallas's Fish-Eagle",1240,435838,548,2005,1860222,NA,NA,NA,NA
"318","Scaly-bellied Woodpecker",NA,NA,NA,2018,239889,NA,NA,NA,NA
"319","Tawny Owl",188,7318,156,2022,16630,21384,NA,NA,NA
"320","White-cheeked Nuthatch",1202,52545,788,2020,140835,NA,NA,NA,NA
"321","Besra",NA,NA,NA,2019,6454992,NA,NA,NA,NA
"322","Black-headed Jay",NA,NA,NA,2016,131715,NA,NA,NA,NA
"323","Long-eared Owl",36,8698,20,2014,55288,NA,NA,NA,NA
"324","Tickell's Thrush",NA,NA,NA,2014,3685381,NA,NA,NA,NA
"325","Long-billed Pipit",NA,NA,NA,2014,2054432,NA,NA,NA,NA
"326","Long-tailed Minivet",NA,NA,NA,2021,2399739,NA,NA,NA,NA
"327","Rock Bunting",NA,NA,NA,2020,667159,NA,NA,NA,NA
"328","Tree Pipit",NA,NA,NA,2013,3612764,NA,NA,NA,NA
